github.com/AlDanial/cloc v 2.02  T=1.55 s (410.8 files/s, 72054.5 lines/s)
----------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                       blank        comment           code
.\crates\mahjong_server\src\db\games.rs                                                                       12              5             98
.\apps\client\src\components\game\ScoringScreen.test.tsx                                                      16              6             97
.\apps\client\src\hooks\useSoundEffects.ts                                                                    21             63             97
.\crates\mahjong_ai\benches\mcts_pruning_bench.rs                                                             23             10             97
.\apps\client\src\components\game\MahjongConfirmationDialog.tsx                                               10             31             96
.\crates\mahjong_ai\src\strategies\random.rs                                                                  11             12             96
.\apps\client\e2e\failure-modes.spec.ts                                                                       22              0             95
.\apps\client\src\components\game\DrawOverlay.test.tsx                                                        16              3             95
.\apps\client\src\components\game\WindCompass.tsx                                                             12             27             95
.\crates\mahjong_core\src\flow\playing.rs                                                                     25            161             95
.\apps\client\src\hooks\useHintSystem.test.ts                                                                 10              0             94
.\docs\implementation\frontend\VR-003-opponent-rack-wooden-enclosure.md                                       26              0             94
.\apps\client\src\components\game\TileImage.tsx                                                               21             42             93
.\apps\client\src\hooks\useMeldActions.test.ts                                                                 8              0             93
.\apps\client\src\components\game\VoteResultOverlay.tsx                                                       11             14             92
.\apps\client\src\features\game\ForfeitGame.integration.test.tsx                                               9              0             92
.\crates\mahjong_ai\src\mcts\node.rs                                                                          27             43             92
.\crates\mahjong_core\src\flow\mod.rs                                                                         31            103             92
.\crates\mahjong_server\tests\forfeit_tests.rs                                                                16             11             92
.\docs\adr\0025-nmjl-rules-scope-and-enforcement.md                                                           49              0             92
.\scripts\find-todos.js                                                                                       21              8             92
.\docs\competitive-analysis\mahjong4friends-ui-analysis.md                                                    30              0             91
.\scripts\extract_card_to_markdown.py                                                                         38             20             91
.\apps\client\src\components\game\HintPanel.tsx                                                               10             28             90
.\crates\mahjong_core\src\bot_utils.rs                                                                        20             67             90
.\apps\client\e2e\race-chaos.spec.ts                                                                          21              0             89
.\crates\mahjong_ai\benches\analysis_performance.rs                                                           11              1             88
.\docs\adr\0023-optional-database-feature-flag.md                                                             46              0             88
.\scripts\convert_pdf.py                                                                                      23              8             88
.\crates\mahjong_core\src\flow\charleston\stage.rs                                                            22            155             87
.\crates\mahjong_server\migrations\20260104000001_create_persistence_schema.sql                               12             17             87
.\scripts\generate_flow_index.py                                                                              17             19             87
.\apps\client\src\components\game\JoinRoomDialog.tsx                                                           9             11             86
.\apps\client\src\hooks\useHistoryPlayback.test.ts                                                             6              0             86
.\apps\client\src\components\game\TurnIndicator.tsx                                                           10             21             85
.\apps\client\src\features\game\TimerExpiry.integration.test.tsx                                               9              0             84
.\apps\client\src\features\game\UndoVoting.integration.test.tsx                                                9              0             84
.\apps\client\src\test\mocks\zustand.ts                                                                       13            100             84
.\docs\implementation\frontend\VR-002-remove-walls-unify-palette.md                                           32              0             84
.\apps\client\src\hooks\useAutoDraw.ts                                                                        16              0             83
.\apps\client\src\components\game\PriorityDiagram.tsx                                                         10             14             82
.\apps\client\src\components\game\WinnerCelebration.tsx                                                       10             13             82
.\apps\client\e2e\support\assertions.ts                                                                       15              0             81
.\apps\client\src\components\game\GameOverPanel.tsx                                                            8             25             81
.\apps\client\src\components\game\MahjongValidationDialog.test.tsx                                            18             11             81
.\apps\client\src\components\game\UpgradeConfirmationDialog.test.tsx                                          22              4             81
.\apps\client\src\components\game\ExposedMeldsArea.tsx                                                         6             13             80
.\docs\implementation\frontend\tests\test-scenarios\timer-expiry.md                                           28              0             80
.\apps\client\src\components\game\CourtesyPassPanel.test.tsx                                                  19              5             79
.\apps\client\src\components\game\DrawScoringScreen.tsx                                                        8             26             79
.\apps\client\src\components\game\ForfeitConfirmationDialog.tsx                                                5             21             78
.\crates\mahjong_server\src\resources.rs                                                                      10             90             78
.\docs\implementation\frontend\VR-006-staging-strip.md                                                        26              0             78
.\apps\client\src\components\game\MeldDisplay.tsx                                                             14             14             77
.\docs\implementation\frontend\VR-007-opponent-staging-tiles.md                                               24              0             77
.\docs\implementation\frontend\VR-017-wind-compass-update.md                                                  22              0             77
.\docs\implementation\frontend\VR-009-melds-in-racks.md                                                       33              0             76
.\apps\client\src\components\game\WallCounter.tsx                                                             10             17             75
.\apps\client\src\components\game\useGamePhase.ts                                                             11             23             75
.\apps\client\e2e\room-entry.spec.ts                                                                          19              0             74
.\apps\client\src\components\game\MahjongConfirmationDialog.test.tsx                                          17              9             74
.\crates\mahjong_server\src\auth.rs                                                                           13             37             74
.\data\cards\README_RUNTIME.md                                                                                33              0             74
.\apps\client\src\components\game\AnimationSettings.test.tsx                                                  12              0             73
.\apps\client\src\test\mocks\example-store.ts                                                                 16              7             73
.\crates\mahjong_server\tests\admin_export_tests.rs                                                           14             11             73
.\apps\client\src\index.css                                                                                   51              2             72
.\apps\client\src\hooks\gameSocketTypes.ts                                                                    11             30             71
.\crates\mahjong_core\src\flow\outcomes.rs                                                                    37            215             71
.\crates\mahjong_core\src\rules\card.rs                                                                       13            112             71
.\docs\implementation\frontend\VR-005-opponent-label-bar.md                                                   23              0             71
.\apps\client\src\features\game\ViewMoveHistory.integration.test.tsx                                          10              0             70
.\apps\client\src\test\mocks\websocket.ts                                                                     11             57             70
.\crates\mahjong_ai\examples\compare_pruning.rs                                                               18              8             70
.\apps\client\src\components\game\PlayerZone.test.tsx                                                         10              0             69
.\crates\mahjong_core\tests\wall_state_persistence.rs                                                         22             10             69
.\apps\client\README.md                                                                                       26              0             68
.\apps\client\src\components\game\ConnectionStatus.tsx                                                         5             26             68
.\apps\client\src\components\game\HintSettingsSection.test.tsx                                                 9              0             67
.\apps\client\src\components\game\phases\SetupPhase.tsx                                                        9             35             67
.\apps\client\src\lib\game-events\publicEventHandlers.setup.ts                                                 4              0             67
.\crates\mahjong_core\src\rules\validator.rs                                                                  21             93             67
.\crates\mahjong_core\src\event\private_events.rs                                                              5             46             66
.\crates\mahjong_server\src\db\events.rs                                                                      12             10             66
.\docs\implementation\frontend\tests\test-scenarios\adjust-hint-verbosity.md                                  19              0             66
.\docs\implementation\frontend\tests\test-scenarios\wall-closure-rule.md                                      22              0             66
.\docs\implementation\frontend\user-interface-draft.md                                                        26              0             66
.\skills\mpmahj-orchestrator\SKILL.md                                                                         34              0             66
.\apps\client\src\components\game\DrawOverlay.tsx                                                             10             26             65
.\apps\client\src\components\game\LeaveConfirmationDialog.tsx                                                  5             20             65
.\apps\client\src\components\game\UndoButton.tsx                                                               5             23             65
.\apps\client\src\features\game\UndoSolo.integration.test.tsx                                                 10              0             65
.\docs\competitive-analysis\mahjongo-ui-analysis.md                                                           24              0             65
.\apps\client\src\components\game\GameOverPanel.test.tsx                                                      12              5             64
.\apps\client\src\components\game\UndoVotePanel.test.tsx                                                       9              0             64
.\apps\client\src\hooks\useMahjongDeclaration.test.ts                                                          7              0             64
.\crates\mahjong_core\src\history.rs                                                                          26             99             64
.\apps\client\e2e\support\fixtures.ts                                                                         16              0             63
.\apps\client\src\components\game\DiscardAnimationLayer.tsx                                                   12             10             63
.\crates\mahjong_core\src\snapshot.rs                                                                         10             68             63
.\crates\mahjong_server\tests\hint_room_settings.rs                                                            8              1             63
.\docs\implementation\frontend\VR-004-charleston-tracker-banner.md                                            20              0             63
.\docs\implementation\frontend\tests\test-scenarios\mahjong-invalid.md                                        22              0             63
.\apps\client\e2e\reconnect-recovery.spec.ts                                                                  17              0             62
.\apps\client\src\components\game\GameBoard.test.tsx                                                          16              0             62
.\apps\client\src\hooks\useAutoDraw.test.ts                                                                   12              0             62
.\apps\client\src\test\fixtures\index.ts                                                                       8             53             62
.\docs\implementation\frontend\tests\test-scenarios\charleston-iou.md                                         18              0             62
.\docs\implementation\frontend\tests\test-scenarios\leave-game.md                                             23              0             61
.\apps\client\e2e\game-abandonment.spec.ts                                                                    13              0             60
.\apps\client\src\components\game\TimerConfigPanel.test.tsx                                                   16              0             60
.\crates\mahjong_core\src\table\snapshot.rs                                                                    8              8             60
.\apps\client\src\components\game\CourtesyNegotiationStatus.tsx                                                7             11             59
.\apps\client\src\components\game\ForfeitConfirmationDialog.test.tsx                                           7              0             58
.\apps\client\src\components\game\TimelineScrubber.tsx                                                         5             29             58
.\crates\mahjong_server\src\db\replay.rs                                                                       9              8             58
.\apps\client\src\components\game\IOUOverlay.test.tsx                                                         14              8             57
.\apps\client\src\test\fixtures\README.md                                                                     24              0             57
.\docs\implementation\frontend\tests\test-scenarios\calling-pung-kong-quint-sextet.md                         18              0             57
.\apps\client\src\components\game\IOUOverlay.tsx                                                               8             11             56
.\apps\client\tailwind.config.js                                                                               0              1             56
.\docs\implementation\frontend\tests\test-scenarios\calling-priority-mahjong.md                               17              0             56
